op_id,device_id,patient_id,operation,algo,payload_bytes,duration_ms,result
W068_1024,W068,P068,encrypt,AES-GCM-128,1024,0.029,ok
W068_2048,W068,P068,encrypt,AES-GCM-128,2048,0.032,ok
W068_4096,W068,P068,encrypt,AES-GCM-128,4096,0.037,ok
W069_256,W069,P069,encrypt,AES-GCM-128,256,0.027,ok
W069_512,W069,P069,encrypt,AES-GCM-128,512,0.029,ok
W069_1024,W069,P069,encrypt,AES-GCM-128,1024,0.03,ok
W069_2048,W069,P069,encrypt,AES-GCM-128,2048,0.031,ok
W069_4096,W069,P069,encrypt,AES-GCM-128,4096,0.038,ok
W070_256,W070,P070,encrypt,AES-GCM-128,256,0.026,ok
W070_512,W070,P070,encrypt,AES-GCM-128,512,0.028,ok
W070_1024,W070,P070,encrypt,AES-GCM-128,1024,0.029,ok
W070_2048,W070,P070,encrypt,AES-GCM-128,2048,0.032,ok
W070_4096,W070,P070,encrypt,AES-GCM-128,4096,0.037,ok
W071_256,W071,P071,encrypt,AES-GCM-128,256,0.027,ok
W071_512,W071,P071,encrypt,AES-GCM-128,512,0.031,ok
W071_1024,W071,P071,encrypt,AES-GCM-128,1024,0.03,ok
W071_2048,W071,P071,encrypt,AES-GCM-128,2048,0.032,ok
W071_4096,W071,P071,encrypt,AES-GCM-128,4096,0.056,ok
W072_256,W072,P072,encrypt,AES-GCM-128,256,0.027,ok
W072_512,W072,P072,encrypt,AES-GCM-128,512,0.03,ok
W072_1024,W072,P072,encrypt,AES-GCM-128,1024,0.03,ok
W072_2048,W072,P072,encrypt,AES-GCM-128,2048,0.033,ok
W072_4096,W072,P072,encrypt,AES-GCM-128,4096,0.039,ok
W073_256,W073,P073,encrypt,AES-GCM-128,256,0.026,ok
W073_512,W073,P073,encrypt,AES-GCM-128,512,0.029,ok
W073_1024,W073,P073,encrypt,AES-GCM-128,1024,0.03,ok
W073_2048,W073,P073,encrypt,AES-GCM-128,2048,0.032,ok
W073_4096,W073,P073,encrypt,AES-GCM-128,4096,0.045,ok
W074_256,W074,P074,encrypt,AES-GCM-128,256,0.026,ok
W074_512,W074,P074,encrypt,AES-GCM-128,512,0.028,ok
W074_1024,W074,P074,encrypt,AES-GCM-128,1024,0.029,ok
W074_2048,W074,P074,encrypt,AES-GCM-128,2048,0.031,ok
W074_4096,W074,P074,encrypt,AES-GCM-128,4096,0.041,ok
W075_256,W075,P075,encrypt,AES-GCM-128,256,0.027,ok
W075_512,W075,P075,encrypt,AES-GCM-128,512,0.028,ok
W075_1024,W075,P075,encrypt,AES-GCM-128,1024,0.03,ok
W075_2048,W075,P075,encrypt,AES-GCM-128,2048,0.032,ok
W075_4096,W075,P075,encrypt,AES-GCM-128,4096,0.038,ok
W076_256,W076,P076,encrypt,AES-GCM-128,256,0.026,ok
W076_512,W076,P076,encrypt,AES-GCM-128,512,0.028,ok
W076_1024,W076,P076,encrypt,AES-GCM-128,1024,0.029,ok
W076_2048,W076,P076,encrypt,AES-GCM-128,2048,0.031,ok
W076_4096,W076,P076,encrypt,AES-GCM-128,4096,0.037,ok
W077_256,W077,P077,encrypt,AES-GCM-128,256,0.026,ok
W077_512,W077,P077,encrypt,AES-GCM-128,512,0.049,ok
W077_1024,W077,P077,encrypt,AES-GCM-128,1024,0.029,ok
W077_2048,W077,P077,encrypt,AES-GCM-128,2048,0.031,ok
W077_4096,W077,P077,encrypt,AES-GCM-128,4096,0.036,ok
W078_256,W078,P078,encrypt,AES-GCM-128,256,0.027,ok
W078_512,W078,P078,encrypt,AES-GCM-128,512,0.028,ok
W078_1024,W078,P078,encrypt,AES-GCM-128,1024,0.029,ok
